Summary Statistic,nick,mean,median,95% HPD Interval,lower,upper,effective sample size (ESS),Summary Statistic,mean (p_k),effective sample size (ESS),(1-p_k),(q_k),(1-q_k),BF,least,most,total
Species.rates.Myo.bly.Rhi.fer,Myo.bly_Rhi.fer,0.957,0.8207,"[9.5375E-6, 2.1806]",9.54E-006,2.1806,1723.6789,Species.indicators.Myo.bly.Rhi.fer,0.7264,629.8721,0.2736,0.1037250485,0.8962749515,22.9412646526,18,38,56
Species.rates.Myo.das.Myo.dau,Myo.das_Myo.dau,0.9865,0.7746,"[3.2573E-4, 2.6661]",3.26E-004,2.6661,1771.5604,Species.indicators.Myo.das.Myo.dau,0.3249,84.7447,0.6751,0.1037250485,0.8962749515,4.1585240348,57,80,137
Species.rates.Myo.das.Myo.ema,Myo.das_Myo.ema,1.0967,0.907,"[1.4644E-4, 2.7818]",1.46E-004,2.7818,1258.2866,Species.indicators.Myo.das.Myo.ema,0.3566,56.2933,0.6434,0.1037250485,0.8962749515,4.7891439912,18,80,98
Species.rates.Myo.das.Pip.nat,Myo.das_Pip.nat,0.9179,0.7072,"[1.0721E-3, 2.5189]",1.07E-003,2.5189,1713.3364,Species.indicators.Myo.das.Pip.nat,0.3205,38.0899,0.6795,0.1037250485,0.8962749515,4.0756434665,26,80,106
Species.rates.Myo.das.Ple.aur,Myo.das_Ple.aur,0.8787,0.6066,"[8.7703E-5, 2.6513]",8.77E-005,2.6513,473.8636,Species.indicators.Myo.das.Ple.aur,0.3584,26.4135,0.6416,0.1037250485,0.8962749515,4.8268217191,5,80,85
Species.rates.Myo.dau.Myo.myo,Myo.dau_Myo.myo,1.4835,1.3647,"[1.3353E-3, 3.1046]",1.34E-003,3.1046,642.5025,Species.indicators.Myo.dau.Myo.myo,0.7817,181.6586,0.2183,0.1037250485,0.8962749515,30.9416870148,26,57,83
Species.rates.Myo.dau.Pip.pyg,Myo.dau_Pip.pyg,0.7643,0.5269,"[2.0906E-4, 2.3425]",2.09E-004,2.3425,1272.3466,Species.indicators.Myo.dau.Pip.pyg,0.4481,219.9281,0.5519,0.1037250485,0.8962749515,7.0157186194,2,57,59
Species.rates.Myo.myo.Myo.nat,Myo.myo_Myo.nat,0.9084,0.7808,"[0.0204, 2.0219]",0.0204,2.0219,2614.4115,Species.indicators.Myo.myo.Myo.nat,0.8491,56.4796,0.1509,0.1037250485,0.8962749515,48.62137245,4,26,30
Species.rates.Myo.myo.Pip.pyg,Myo.myo_Pip.pyg,0.8476,0.582,"[4.3617E-4, 2.5765]",4.36E-004,2.5765,1691.4553,Species.indicators.Myo.myo.Pip.pyg,0.3224,383.3052,0.6776,0.1037250485,0.8962749515,4.1113007583,2,26,28
Species.rates.Nyc.noc.Pip.nat,Nyc.noc_Pip.nat,0.8665,0.7333,"[9.2813E-3, 1.9825]",9.28E-003,1.9825,2395.7633,Species.indicators.Nyc.noc.Pip.nat,0.8712,28.6307,0.1288,0.1037250485,0.8962749515,58.4466490047,4,26,30
Species.rates.Pip.nat.Pip.pip,Pip.nat_Pip.pip,0.854,0.746,"[0.056, 1.9051]",0.056,1.9051,3574.9203,Species.indicators.Pip.nat.Pip.pip,0.9844,248.5998,0.0156,0.1037250485,0.8962749515,545.2612303756,4,26,30
Species.rates.Rhi.bla.Rhi.eur,Rhi.bla_Rhi.eur,0.7439,0.6161,"[1.7332E-6, 1.7513]",1.73E-006,1.7513,3143.4829,Species.indicators.Rhi.bla.Rhi.eur,0.898,187.5981,0.102,0.1037250485,0.8962749515,76.073566501,3,30,33
Species.rates.Rhi.eur.Rhi.fer,Rhi.eur_Rhi.fer,1.5961,1.4746,"[0.4147, 3.0736]",0.4147,3.0736,4328.2527,Species.indicators.Rhi.eur.Rhi.fer,1,n/a,0,0.1037250485,0.8962749515,1.00E+10,18,30,48
Species.rates.Rhi.eur.Rhi.meh,Rhi.eur_Rhi.meh,1.2111,1.0987,"[0.2059, 2.4511]",0.2059,2.4511,4357.3746,Species.indicators.Rhi.eur.Rhi.meh,0.9749,399.0974,0.0251,0.1037250485,0.8962749515,335.6170080545,5,30,35
